StartRelativeMSec,Number,Generation,Type,Reason,IsCompacting,SuspensionDurationInMilliSeconds,PauseDurationInMilliSeconds,FinalPauseDurationInMilliSeconds,Gen0Size,Gen1Size,Gen2Size,LOHSize,ObjGen0Before,ObjGen1Before,ObjGen2Before,ObjLOHBefore,ObjGen0After,ObjGen1After,ObjGen2After,ObjLOHAfter
5710.10917911991,1,0,NonConcurrentGC,AllocSmall,False,0.00656409418661497,0.513458034105497,0,96,82680,96,1062440,28138648,96,96,1062440,96,82656,0,0
5866.18072920522,2,0,NonConcurrentGC,AllocSmall,False,0.320546599416957,0.681207107747468,0,96,108136,96,1576024,28631288,82656,96,1576024,96,108112,0,0
6036.95949698617,3,0,NonConcurrentGC,AllocSmall,False,0.0667349575578555,0.367589274415877,0,96,131904,96,1918536,27849184,108112,96,1918536,96,131880,0,0
6193.51241397846,4,0,NonConcurrentGC,AllocSmall,False,0.00875212558094063,0.301218988757682,0,96,156984,96,2345752,27889240,131880,96,2345752,96,156960,0,0
6351.54881625678,5,0,NonConcurrentGC,AllocSmall,False,2.39990576878154,3.53841143815316,0,96,179824,96,3201896,27646264,156960,96,3201896,96,179800,0,0
6490.76741919144,6,0,NonConcurrentGC,AllocSmall,False,0.0102108131786736,0.282256049998068,0,96,203648,96,3715192,26212208,179800,96,3715192,96,203624,0,0
6661.47835799913,7,0,NonConcurrentGC,AllocSmall,False,0.00656409418570547,1.09438036956544,0,96,225712,96,4656784,29382104,203624,96,4656784,96,225688,0,0
6819.28975771564,8,0,NonConcurrentGC,AllocSmall,False,0.00656409418661497,0.567794147089444,0,96,251128,96,5085768,26468616,225688,96,5085768,96,251104,0,0
6975.07504036006,9,0,NonConcurrentGC,AllocSmall,False,0.0346438304268304,0.351179038951159,0,96,275088,96,5599072,27161536,251104,96,5599072,96,275064,0,0
7130.86542841108,10,0,NonConcurrentGC,AllocSmall,False,0.0164102354647184,0.347896991857851,0,96,299104,96,6369016,28505056,275064,96,6369016,96,299080,0,0
7287.13390132197,11,0,NonConcurrentGC,AllocSmall,False,0.0145868759691439,0.310700458137035,0,96,322160,96,6969048,26508848,299080,96,6969048,96,322136,0,0
7442.60483678927,12,0,NonConcurrentGC,AllocSmall,False,0.0138575321707322,0.316170536626487,0,96,347192,96,7310760,27988616,322136,96,7310760,96,347168,0,0
7584.85495722216,13,0,NonConcurrentGC,AllocSmall,False,0.11997705484373,0.399680401547812,0,96,369392,96,7738512,26184456,347168,96,7738512,96,369368,0,0
7772.22921379291,14,0,NonConcurrentGC,AllocSmall,False,0.00984614127901295,0.306689067246225,0,96,395224,96,8762840,29394064,369368,96,8762840,96,395200,0,0
7928.2198067166,15,0,NonConcurrentGC,AllocSmall,False,0.599155930422057,0.910950404257164,0,96,418432,96,9532088,28500296,395200,96,9532088,96,418408,0,0
8100.78437278804,16,0,NonConcurrentGC,AllocSmall,False,0.0138575321698227,1.02618672441076,0,96,443928,96,10215880,28708792,418408,96,10215880,96,443904,0,0
8178.23922549523,17,2,NonConcurrentGC,AllocLarge,False,0.0503247220931371,0.682301123445541,0,96,19904,62544,35432,15544016,443904,96,10643552,96,19904,62496,35304
8352.41892340833,18,0,NonConcurrentGC,AllocSmall,False,2.75983693331364,2.99577965211029,0,96,44800,62544,978048,26368776,19904,62496,977920,96,44800,0,0
8507.33336955741,19,0,NonConcurrentGC,AllocSmall,False,0.00692876608627557,0.282620721896819,0,96,66456,62544,1234720,29412008,44800,62496,1234592,96,66456,0,0
8645.85800186785,20,0,NonConcurrentGC,AllocSmall,False,0.0601708633730595,0.412808589921042,0,96,88816,62544,1918336,24695840,66456,62496,1918208,96,88816,0,0
8818.57354210557,21,0,NonConcurrentGC,AllocSmall,False,0.158996948061031,0.49303640774815,0,96,115560,62544,2517784,28083368,88816,62496,2517656,96,115560,0,0
8961.65474979679,22,0,NonConcurrentGC,AllocSmall,False,2.47502818002067,3.53512939106076,0,96,139432,62544,3373536,25172936,115560,62496,3373408,96,139432,0,0
9133.94508260001,23,0,NonConcurrentGC,AllocSmall,False,0.00656409418661497,0.314711849028754,0,96,165736,62544,3972456,28427120,139432,62496,3972328,96,165736,0,0
9273.44740027226,24,0,NonConcurrentGC,AllocSmall,False,0.0711110203483258,0.36430722732257,0,96,187432,62544,5000440,27155152,165736,62496,5000312,96,187432,0,0
9396.41330600239,25,0,NonConcurrentGC,AllocSmall,False,0.500329845732267,0.862084369760851,0,96,210176,62544,5428216,20509472,187432,62496,5428088,96,210176,0,0
9551.72779722492,26,0,NonConcurrentGC,AllocSmall,False,0.199840200773906,1.20961668972086,0,96,236656,62544,6284704,25697280,210176,62496,6284576,96,236656,0,0
9677.77809787867,27,0,NonConcurrentGC,AllocSmall,False,0.382540822285591,0.711110203483258,0,96,258640,62544,6796760,24049504,236656,62496,6796632,96,258640,0,0
9856.28134582894,28,0,NonConcurrentGC,AllocSmall,False,0.00948146938026184,6.33179818619465,0,96,281872,62544,7654208,28908848,258640,62496,7654080,96,281872,0,0
9989.57257171364,29,0,NonConcurrentGC,AllocSmall,False,0.0692876608518418,0.354461086044466,0,96,306320,62544,8338288,25076112,281872,62496,8338160,96,306320,0,0
